id;fr_fr
5802;Pièces de chariot fragiles
5804;Rumeurs gobelines
5806;Bière brune du Sot
5808;Glande à venin d'aile-fière
5809;Glande à venin de Haut-Perchoir
5812;Robe des temps anciens
5813;Brant d'Emil
5815;Pierre glaciaire
5810;Carcasse fraîche
5814;Armure du ruisseau
5817;Arc de Lunaris
5824;Tablette de volonté
5811;Crinière de Gueule-glacée
5837;Côte de Broie-l'acier
5839;Page de journal
5838;Parchemin de peau de kodo
5816;Lumière d'Élune
5818;Baguette du rayon lunaire
5819;Camail d'ensoleillement
5820;Mantelet féerique
5825;Pendentif de Treshala
5826;Plan de Kravel
5827;Lettre de Féplouf Zéboulon
5830;Tête de Kenata
5829;Bec acéré
5831;Tête de Fardel
5832;Tête de Marcel
5833;Minerai d'indurium
5835;Tafia de Mok'Morokk
5851;Clé de Cozzle
5852;Plans du régulateur de carburant
5854;Serre de silithide
5841;Cœur d'incendiaire
5842;Echantillon de minerai brut
5843;Griffes de Grenka
5844;Fragments de Rok'Alim
5847;Tête d'Aileron boueux
5848;Os creux de vautour
5869;Sabot fendu
5871;Grand sabot
5845;Flanchet de viande
5849;Caisse de casques anti-accidents
5850;Note scellée de Belgrom
5860;Héritage des Aspects
5853;Carapace de silithide intacte
5858;Boîte à surprises gobeline
5868;Flasque d'eau forte remplie
5872;Bélier brun
5855;Cœur de silithide
5857;Boîte à surprises gnome
5859;Grenade à fragmentation
5863;Charte de guilde
5861;Naissance de la menace des Morts-vivants
5862;Lance-hydroglycérine
5865;Lance-hydroglycérine modifié
5866;Echantillon de minerai d'indurium
5864;Bélier gris
5867;Flasque d'eau forte
6039;Recette : Ardeur de palourde géante
6041;Dragonne en acier
5873;Bélier blanc
5876;Racines de feuillebleue
5877;Carapace de silithide craquelée
5880;Caisse percée
5878;Excellent tabac
5919;Bouclier en fer noirci
5936;Ceinture en peau d'animal
5938;Patte de clampant en parfait état
5879;Pendentif du Crépuscule
5881;Tête de Kelris
5882;Documents du capitaine
5884;Oeil de Sombrebrume
5883;Langue fourchue de Rochefange
5897;Manuel d'utilisateur de Sniffetarin
5917;Rapport d'espion
5964;Epaulières barbares
5918;Tête d'orc défiant
5939;Gants de couture
5940;Targe en os
5941;Pantalon d'écailles de cuivre
5942;Pendentif orné de joyaux
5944;Grèves de la milice du peuple
5945;Dent de Mortebourbe
5947;Registre des Défias
5943;Brassards de la faille
5946;Note scellée à Elling
5951;Chiffon à poussière
5952;Tronc cérébral corrompu
5948;Lettre à Jorgen
5950;Ecusson de Reethe
5958;Pantalon raffiné en cuir
5959;Sac de venin acide
5956;Marteau de forgeron
5957;Gilet cousu main en cuir
5960;Note scellée pour Backus
5961;Pantalon noir en cuir
5962;Pantalon du gardien
5971;Cape ornée de plumes
5973;Patron : Jambières barbares
5974;Patron : Cape du gardien
5963;Jambières barbares
5965;Cape du gardien
5966;Gants du gardien
5970;Gants du serpent
5967;Ceinturon de noblesse
5968;Bottes robustes
5969;Cape de régent
5976;Tabard de guilde
5972;Patron : Pantalon raffiné en cuir
5975;Ceinture de forban
5997;Élixir de défense mineure
6038;Ardeur de palourde géante
5996;Élixir de respiration aquatique
5998;Requête de Foudrepique
6016;Echantillon de cœur de loup
6037;Barre de vrai-argent
5834;Tabac de Mok'Morokk
5836;Coffre de Mok'Morokk
5840;Langue d'incendiaire
5846;Note scellée de Korran
6040;Brassards en écailles dorées
6048;Potion de protection contre l'Ombre
6050;Potion de protection contre le Givre
6053;Recette : Potion de protection contre le Sacré
6043;Contrepoids en fer
6046;Plans : Dragonne en acier
6045;Plans : Contrepoids en fer
6056;Recette : Potion de protection contre le Givre
6042;Pointe de bouclier en fer
6044;Plans : Pointe de bouclier en fer
6047;Plans : Camail en écailles dorées
6049;Potion de protection contre le Feu
6052;Potion de protection contre la Nature
6051;Potion de protection contre le Sacré
6055;Recette : Potion de protection contre le Feu
6060;Brassards en lin
6057;Recette : Potion de protection contre la Nature
6054;Recette : Potion de protection contre l'Ombre
6058;Ceinture en cuir noirci
6059;Gilet de nomade
6061;Brassards grisepierre
6070;Brassards en peau de loup
6074;Embouchure de cor de guerre
6078;Bouclier du lancier
6062;Brassards de corde épaisse
